,Census_Tract,boro_code
0,78.0,1.0
1,519.0,3.0
2,129.0,1.0
3,125.0,1.0
4,1116.0,3.0
5,211.0,1.0
6,34.0,1.0
7,39.0,4.0
8,427.0,3.0
9,315.0,3.0
10,7.0,1.0
11,485.0,3.0
12,495.0,3.0
13,44.0,1.0
14,317.02,3.0
15,267.0,1.0
16,149.0,4.0
17,22.02,1.0
18,72.0,1.0
19,21.0,1.0
20,65.0,1.0
21,111.0,1.0
22,199.0,4.0
23,131.0,1.0
24,375.0,3.0
25,67.0,1.0
26,84.0,1.0
27,187.0,3.0
28,43.0,1.0
29,221.0,3.0
30,425.0,3.0
31,437.0,3.0
32,508.03,3.0
33,90.0,1.0
34,13.0,1.0
35,453.0,3.0
36,499.0,3.0
37,411.0,3.0
38,73.0,4.0
39,229.0,3.0
40,238.01,1.0
41,247.0,3.0
42,83.0,1.0
43,191.0,3.0
44,100.0,1.0
45,37.0,3.0
46,289.0,3.0
47,33.0,4.0
48,503.0,3.0
49,423.0,3.0
50,51.0,4.0
51,433.0,3.0
52,41.0,2.0
53,405.0,3.0
54,40.0,1.0
55,71.0,4.0
56,141.0,3.0
57,115.0,1.0
58,296.0,2.0
59,421.0,3.0
60,66.0,1.0
61,249.0,3.0
62,49.0,1.0
63,39.0,5.0
64,156.01,1.0
65,293.0,4.0
66,154.0,1.0
67,9.0,3.0
68,55.02,1.0
69,57.0,4.0
70,195.0,2.0
71,64.0,1.0
72,235.0,3.0
73,345.0,3.0
74,153.0,2.0
75,127.0,1.0
76,317.01,3.0
77,413.0,3.0
78,249.0,1.0
79,419.0,3.0
80,26.02,1.0
81,179.0,4.0
82,255.0,1.0
83,133.02,5.0
84,769.02,4.0
85,481.0,3.0
86,297.0,4.0
87,157.0,4.0
88,369.0,3.0
89,401.0,3.0
90,417.0,3.0
91,239.0,1.0
92,132.0,1.0
93,473.0,4.0
94,14.02,1.0
95,443.0,3.0
96,331.0,3.0
97,317.03,1.0
98,403.04,2.0
99,391.0,3.0
100,551.0,3.0
101,381.0,3.0
102,393.0,3.0
103,287.0,3.0
104,227.0,1.0
105,236.0,2.0
106,505.0,3.0
107,257.0,3.0
108,129.01,3.0
109,33.0,3.0
110,563.0,3.0
111,233.0,1.0
112,228.0,3.0
113,74.0,3.0
114,511.0,3.0
115,389.0,3.0
116,27.02,2.0
117,497.0,3.0
118,160.02,1.0
119,62.0,1.0
120,571.0,3.0
121,59.0,3.0
122,21.0,5.0
123,446.01,4.0
124,116.0,1.0
125,231.0,3.0
126,283.0,3.0
127,429.0,3.0
128,719.0,4.0
129,206.0,1.0
130,502.01,4.0
131,259.01,3.0
132,513.0,3.0
133,18.0,1.0
134,47.0,1.0
135,101.0,4.0
136,199.0,1.0
137,194.0,1.0
138,143.0,4.0
139,295.0,3.0
140,311.0,3.0
141,145.0,3.0
142,549.0,3.0
143,99.0,1.0
144,420.0,3.0
145,36.0,5.0
146,207.0,5.0
147,31.0,4.0
148,263.0,2.0
149,155.0,4.0
150,113.0,4.0
151,82.0,3.0
152,95.0,4.0
153,853.0,4.0
154,170.0,4.0
155,419.0,2.0
156,216.0,3.0
157,259.0,1.0
158,28.0,1.0
159,9.0,1.0
160,253.0,3.0
161,779.07,4.0
162,593.0,3.0
163,285.0,2.0
164,482.0,3.0
165,779.08,4.0
166,193.0,1.0
167,238.02,1.0
168,117.0,3.0
169,119.0,4.0
170,385.0,3.0
171,118.0,1.0
172,261.0,3.0
173,197.02,1.0
174,77.0,4.0
175,219.0,3.0
176,66.0,3.0
177,423.0,2.0
178,610.03,3.0
179,78.0,2.0
180,918.0,3.0
181,202.0,4.0
182,377.0,3.0
183,447.0,3.0
184,356.0,2.0
185,804.0,3.0
186,312.0,2.0
187,268.0,3.0
188,58.0,3.0
189,1188.0,3.0
190,1257.0,4.0
191,36.02,1.0
192,177.01,2.0
193,117.0,1.0
194,142.0,3.0
195,397.0,3.0
196,72.0,3.0
197,554.0,3.0
198,106.02,1.0
199,121.0,1.0
